T,B,OPT,ALG_det,competitive_ratio
1,10,1,1,1.0
2,10,2,2,1.0
3,10,3,3,1.0
4,10,4,4,1.0
5,10,5,5,1.0
6,10,6,6,1.0
7,10,7,7,1.0
8,10,8,8,1.0
9,10,9,9,1.0
10,10,10,19,1.9
11,10,10,19,1.9
12,10,10,19,1.9
13,10,10,19,1.9
14,10,10,19,1.9
15,10,10,19,1.9
16,10,10,19,1.9
17,10,10,19,1.9
18,10,10,19,1.9
19,10,10,19,1.9
20,10,10,19,1.9
21,10,10,19,1.9
22,10,10,19,1.9
23,10,10,19,1.9
24,10,10,19,1.9
25,10,10,19,1.9
26,10,10,19,1.9
27,10,10,19,1.9
28,10,10,19,1.9
29,10,10,19,1.9
30,10,10,19,1.9
31,10,10,19,1.9
32,10,10,19,1.9
33,10,10,19,1.9
34,10,10,19,1.9
35,10,10,19,1.9
36,10,10,19,1.9
37,10,10,19,1.9
38,10,10,19,1.9
39,10,10,19,1.9
40,10,10,19,1.9
41,10,10,19,1.9
42,10,10,19,1.9
43,10,10,19,1.9
44,10,10,19,1.9
45,10,10,19,1.9
46,10,10,19,1.9
47,10,10,19,1.9
48,10,10,19,1.9
49,10,10,19,1.9
50,10,10,19,1.9
